Episode,Titre,Date,Note IMDb,Description,Saison
Épisode 4,S2.E4 ∙ The One with Phoebe's Husband,"jeu., 12 oct. 1995","7,8/10","When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.",Saison 2
Épisode 5,S2.E5 ∙ The One with Five Steaks and an Eggplant,"jeu., 19 oct. 1995","8,1/10","The gang are divided by income issues; Monica, Ross and Chandler make more money, while Rachel, Phoebe, and Joey don't. Chandler also uses a case of mistaken identity to his advantage.",Saison 2
Épisode 6,S2.E6 ∙ The One with the Baby on the Bus,"jeu., 2 nov. 1995","8,4/10","Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.",Saison 2
Épisode 7,S2.E7 ∙ The One Where Ross Finds Out,"jeu., 9 nov. 1995","8,9/10","A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.",Saison 2
Épisode 8,S2.E8 ∙ The One with the List,"jeu., 16 nov. 1995","8,3/10","With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.",Saison 2
Épisode 9,S2.E9 ∙ The One with Phoebe's Dad,"jeu., 14 déc. 1995","7,8/10","Phoebe tracks down her father, but isn't sure whether she should meet him.",Saison 2
Épisode 10,S2.E10 ∙ The One with Russ,"jeu., 4 janv. 1996","7,8/10",Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,Saison 2
Épisode 11,S2.E11 ∙ The One with the Lesbian Wedding,"jeu., 18 janv. 1996","7,9/10",Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,Saison 2
Épisode 12,S2.E12 ∙ The One After the Superbowl: Part 1,"dim., 28 janv. 1996","8,5/10",Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,Saison 2
Épisode 13,S2.E13 ∙ The One After the Superbowl: Part 2,"dim., 28 janv. 1996","8,6/10","Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme.",Saison 2
Épisode 14,S2.E14 ∙ The One with the Prom Video,"jeu., 1 févr. 1996","9,3/10",Monica struggles to tell her parents she is unemployed. Joey gives Chandler a hideous bracelet. The gang watch a video from Monica and Rachel's prom.,Saison 2
Épisode 15,S2.E15 ∙ The One Where Ross and Rachel... You Know,"jeu., 8 févr. 1996","8,7/10",Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,Saison 2
Épisode 16,S2.E16 ∙ The One Where Joey Moves Out,"jeu., 15 févr. 1996","8,5/10",Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,Saison 2
Épisode 17,S2.E17 ∙ The One Where Eddie Moves In,"jeu., 22 févr. 1996","8,1/10","Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment.",Saison 2
